id_catalogo,id_dia,nombre_catalogo,tipo,marca_catalogo,nombre_dia,marca_dia,precio_dia,score,motivo
CAT-6440,DI-3844,salsa de tomate con albahaca,marca_blanca,,Pan crujiente de centeno con tomate y albahaca Melvit 170 g,Melvit,2.29,0,"salsa de tomate vs pan con tomate, productos diferentes aunque comparten ingrediente"
CAT-1500,DI-1743,agua mineral,marca_fabricante,Nestlé,Agua mineral Aquarel 750 ml,Aquarel,0.79,2,"agua mineral pero marca Nestlé vs Aquarel, son marcas completamente distintas"
CAT-1568,DI-1468,refresco té verde,marca_blanca,,Refresco de té verde con aloe vera San Benedetto 1.5 L,San Benedetto,1.15,4,"ambos té verde pero marcas distintas, DIA tiene marca específica San Benedetto no genérica"
CAT-1127,DI-0997,mix mini barritas de chocolate,marca_blanca,,Mini barritas de chocolate con leche y avellanas Kinder bolsa 108 g,Kinder,2.99,6,"mini barritas de chocolate, similar pero CAT es mix genérico vs DI especifica Kinder"
CAT-2174,DI-2624,chocolate negro 55% cacao con almendras,marca_blanca,,Chocolate negro 70% con almendras Trapa 175 g,Trapa,3.5,6,"chocolate negro con almendras, mismo tipo pero 55% vs 70% cacao diferencia relevante"
CAT-7999,DI-1012,desatascador de tuberías en gel,marca_blanca,,Desatascador de tuberías gel denso WC Net botella 1 L,WC Net,6.99,8,"desatascador de tuberías gel, mismo tipo pero marcas diferentes"
CAT-0748,DI-4613,chocolate con leche avellanas troceadas,marca_blanca,,Chocolate con leche con avellanas Milka 250 g,Milka,5.75,8,"chocolate con leche y avellanas, mismo producto pero marca Milka diferente"
CAT-7291,DI-0438,yemas de espárragos,marca_blanca,,Yemas de espárragos gruesas Dia Vegecampo 110 g,Dia Vegecampo,1.66,8,"yemas de espárragos, misma categoría pero CAT no especifica 'gruesas'"
CAT-1129,DI-0294,cerveza extra reserva especial,marca_fabricante,1906,Cerveza reserva 1906 33 cl,1906,1.1,8,"mismo producto y marca (1906), distinto formato/tamaño"
CAT-1492,DI-0134,refresco lima limón,marca_fabricante,Sprite,Sprite 2 L,Sprite,1.65,8,"mismo producto Sprite, descripción más genérica en DIA pero mismo tipo"
CAT-7093,DI-1554,concha fina al natural,marca_blanca,,Concha fina al natural Ubago 55 g,Ubago,2.39,10,"mismo producto exacto, concha fina al natural, solo diferencia de marca/tamaño"
CAT-7085,DI-4614,café molido mezcla intensa,marca_fabricante,La Estrella,Café molido mezcla La estrella 250 g,La estrella,4.99,10,"mismo producto exacto, café molido mezcla La Estrella, misma marca y tipo"
CAT-7293,DI-4291,pimientos del piquillo en tiras con ajo,marca_blanca,,Pimientos del piquillo en tiras con ajo Dia Vegecampo 225 g,Dia Vegecampo,1.1,10,"mismo producto exacto, pimientos del piquillo en tiras con ajo"
CAT-7148,DI-0178,chocolate para hacer a la taza,marca_fabricante,Valor,Chocolate para hacer a la taza Valor 300 g,Valor,4.75,10,"mismo producto exacto, chocolate para hacer a la taza Valor, misma marca"
CAT-7062,DI-1410,bonito del norte en escabeche,marca_blanca,,Bonito del norte en escabeche Dia Mari Marinera 140 g,Dia Mari Marinera,3.39,10,"mismo producto exacto, bonito del norte en escabeche, misma categoría y tipo"
CAT-0636,DI-0257,café en grano natural,marca_blanca,,Café en grano natural Dia Cafetería 500 g,Dia Cafetería,5.99,10,"mismo producto exacto, café en grano natural, solo diferencia de formato/tamaño"
CAT-0258,DI-0703,barritas de barquillo con chocolate con leche,marca_fabricante,Huesitos,Barritas de barquillo recubierta de chocolate con leche Huesitos bolsa 120 g,Huesitos,1.95,10,"mismo producto exacto, barritas de barquillo con chocolate Huesitos"
CAT-7296,DI-1031,cardo troceado,marca_blanca,,Cardo troceado Gvtarra 400 g,Gvtarra,3.45,10,"mismo producto exacto, cardo troceado, solo diferencia de marca/tamaño"
CAT-7428,DI-3286,miel de montaña,marca_blanca,,Miel de montaña Mielove de Dia frasco 500 g,Mielove de Dia,4.99,10,"mismo producto exacto, miel de montaña, diferencia de tamaño no afecta"
CAT-7649,DI-2786,cerveza sin alcohol,marca_fabricante,Mahou,Cerveza sin alcohol Mahou 33 cl,Mahou,0.75,10,"mismo producto exacto, cerveza sin alcohol Mahou, misma marca"
CAT-0774,DI-4424,cerveza rubia,marca_fabricante,Amstel,Cerveza Amstel 33 cl,Amstel,0.76,10,"mismo producto exacto, cerveza rubia Amstel, misma marca"
CAT-1501,DI-0295,cerveza rubia,marca_fabricante,Heineken,Cerveza Heineken 33 cl,Heineken,0.67,10,"mismo producto exacto, misma marca Heineken"
CAT-1966,DI-2806,agua de colonia bebé,marca_fabricante,Nenuco,Agua de colonia fragancia original Nenuco botella 650 ml,Nenuco,3.99,10,"mismo producto exacto, agua de colonia Nenuco bebé"
CAT-1217,DI-1632,postre lácteo infantil fresa y plátano,marca_blanca,,Postre lácteo infantil con puré de fresa y plátano Smileat bolsa 100 g,Smileat,1.71,10,"mismo producto exacto, postre lácteo infantil fresa y plátano"
CAT-0465,DI-4595,refresco limón,marca_fabricante,Fanta,Fanta de limón 2 L,Fanta,1.85,10,"mismo producto exacto, misma marca Fanta"
CAT-0179,DI-3552,refresco té sabor limón,marca_fabricante,Fuze Tea,Fuze tea de limón 330 ml,Fuze tea,0.99,10,"mismo producto exacto, misma marca Fuze Tea"
CAT-0985,DI-4518,bitter sin alcohol,marca_fabricante,Kas,Kas bitter 330 ml,Kas,0.99,10,"mismo producto exacto, misma marca Kas"
CAT-0487,DI-4153,refresco de naranja sin gas,marca_blanca,,Refresco de naranja sin gas Dia Upss 1.5 L,Dia Upss,1.15,10,"mismo tipo de producto marca blanca, ignora marca Dia Upss"
CAT-1581,DI-0521,bebida energética original,marca_fabricante,Burn,Bebida energética Burn 500 ml,Burn,1.29,10,"mismo producto exacto, misma marca Burn"
CAT-1583,DI-3560,bebida energética zero,marca_blanca,,Bebida energética cítrica zero Dia El diablo 500 ml,Dia El diablo,0.99,10,"mismo tipo de producto energética zero marca blanca, ignora marca Dia El diablo"
